CustomerID,Age,Gender,Tenure,Monthly Charges,Total Charges,Contract Type,Has Internet Service,Has Online Security Service,Has Device Protection Plan,Number of Complaints Last Year,Churn,Region
1,56,Female,41,78.22,5706.78,Two year,No,Yes,Yes,0,1,South
2,69,Male,55,120.48,790.58,One year,DSL,Yes,No,9,0,East
3,46,Female,7,90.26,3419.78,One year,No,No,Yes,8,0,South
4,32,Male,18,74.5,806.2,Two year,DSL,No,No,4,0,South
5,60,Female,43,46.38,1568.84,Month-to-month,Fiber optic,No,Yes,5,0,North
6,25,Male,40,50.43,423.9,One year,No,No,Yes,1,0,South
7,38,Female,53,37.72,765.49,Month-to-month,Fiber optic,Yes,No,9,0,West
8,56,Male,14,104.97,4126.01,One year,No,No,Yes,9,1,North
9,36,Male,21,37.78,2539.19,Month-to-month,Fiber optic,No,No,3,0,West
10,40,Female,57,68.77,140.92,Month-to-month,DSL,Yes,Yes,1,1,South
11,28,Female,46,105.72,2149.66,Two year,DSL,No,No,4,0,East
12,28,Other,26,101.99,1215.69,Month-to-month,DSL,No,Yes,1,1,South
13,41,Female,24,88.32,1211.89,One year,Fiber optic,No,No,1,1,East
14,53,Male,5,87.69,4588.63,Two year,No,No,No,5,0,West
15,57,Male,42,39.11,151.68,Two year,Fiber optic,Yes,No,2,0,West
16,41,Female,43,47.66,2343.89,Month-to-month,No,No,No,3,1,South
17,20,Other,32,84,1380.68,Month-to-month,DSL,No,Yes,3,0,West
18,39,Female,6,65.15,3837.4,One year,No,Yes,No,5,0,East
19,19,Male,67,31.9,3454.5,Two year,DSL,No,No,0,1,South
20,41,Male,7,110.6,712.16,Two year,DSL,No,Yes,5,0,East
21,61,Other,29,96.03,2742.21,Two year,Fiber optic,No,Yes,6,0,South
22,47,Female,34,62.89,1767.19,Month-to-month,Fiber optic,No,No,3,0,East
23,55,Male,7,39.91,2680.18,One year,DSL,Yes,No,2,1,West
24,19,Male,58,89.7,4031.8,One year,DSL,No,Yes,0,1,South
25,38,Male,31,65.19,119.82,Two year,No,No,Yes,6,0,North
26,50,Female,45,55.78,526.11,Month-to-month,DSL,No,No,6,1,West
27,29,Female,47,102.86,1648.54,One year,No,Yes,No,7,0,South
28,39,Other,40,63.13,829.75,One year,Fiber optic,Yes,No,0,1,East
29,61,Male,30,43.73,1949.41,Month-to-month,DSL,Yes,No,3,0,North
